Period,Alcohol Type,Alcohol Sub Type,Alcohol Content,Clearance Origin,Value,Measure Type,Unit,Marker
government-year/2016-2017,wine,All,All,All,12999758.57,clearances,hectolitres,
government-year/2016-2017,wine,All,All,All,4168.88,wine-duty-receipts,gbp-million,
government-year/2016-2017,wine,All,All,All,11155.13,alcohol-duty-receipts,gbp-million,
government-year/2017-2018,wine,Still,up to 15% abv,All,11192014.91,clearances,hectolitres,
government-year/2017-2018,wine,Sparkling,up to 15% abv,All,1613648.47,clearances,hectolitres,
government-year/2017-2018,wine,All,over 15% abv,All,200361.45,clearances,hectolitres,
government-year/2017-2018,wine,All,over 5.5% abv,Ex-ship,3554949.1,clearances,hectolitres,
government-year/2017-2018,wine,All,over 5.5% abv,Ex-warehouse,9422072.4,clearances,hectolitres,
government-year/2017-2018,wine,All,over 5.5% abv,UK Origin,25558.33,clearances,hectolitres,
government-year/2017-2018,wine,All,All,All,13002579.83,clearances,hectolitres,
government-year/2017-2018,wine,All,All,All,4255.9,wine-duty-receipts,gbp-million,
government-year/2017-2018,wine,All,All,All,11440.48,alcohol-duty-receipts,gbp-million,
government-year/2018-2019,wine,Still,up to 15% abv,All,11119561.26,clearances,hectolitres,
government-year/2018-2019,wine,Sparkling,up to 15% abv,All,1588481.42,clearances,hectolitres,
government-year/2018-2019,wine,All,over 15% abv,All,188737.84,clearances,hectolitres,
government-year/2018-2019,wine,All,over 5.5% abv,Ex-ship,3535000.56,clearances,hectolitres,
government-year/2018-2019,wine,All,over 5.5% abv,Ex-warehouse,9343590.57,clearances,hectolitres,
government-year/2018-2019,wine,All,over 5.5% abv,UK Origin,23831.2,clearances,hectolitres,
government-year/2018-2019,wine,All,All,All,12902422.33,clearances,hectolitres,
government-year/2018-2019,wine,All,All,All,4391.76,wine-duty-receipts,gbp-million,
government-year/2018-2019,wine,All,All,All,12110.67,alcohol-duty-receipts,gbp-million,
government-year/2019-2020,wine,Still,up to 15% abv,All,10879163.79,clearances,hectolitres,
government-year/2019-2020,wine,Sparkling,up to 15% abv,All,1491186.21,clearances,hectolitres,
government-year/2019-2020,wine,All,over 15% abv,All,192390.48,clearances,hectolitres,
government-year/2019-2020,wine,All,over 5.5% abv,Ex-ship,3354759.6,clearances,hectolitres,
government-year/2019-2020,wine,All,over 5.5% abv,Ex-warehouse,9184606.74,clearances,hectolitres,
government-year/2019-2020,wine,All,over 5.5% abv,UK Origin,23374.14,clearances,hectolitres,
government-year/2019-2020,wine,All,All,All,12562740.48,clearances,hectolitres,
government-year/2019-2020,wine,All,All,All,4296.16,wine-duty-receipts,gbp-million,
government-year/2019-2020,wine,All,All,All,11837.57,alcohol-duty-receipts,gbp-million,
government-year/2020-2021,wine,Still,up to 15% abv,All,12110616.98,clearances,hectolitres,
government-year/2020-2021,wine,Sparkling,up to 15% abv,All,1549591.11,clearances,hectolitres,
government-year/2020-2021,wine,All,over 15% abv,All,214857.46,clearances,hectolitres,
